[COT 2022-6M-27 16:45:6s] 76561199055119791: Spawned Entity Firewood (Firewood<fd898bb0>, 1, 500) at <1659.152466, 216.847580, 4631.463379>
[COT 2022-6M-27 16:45:6s] 76561199055119791: Spawned Entity Firewood (Firewood<fd89a560>, 1, 500) at <1659.152466, 216.847580, 4631.463379>
[COT 2022-6M-27 16:45:7s] 76561199055119791: Spawned Entity Firewood (Firewood<fd897a90>, 1, 500) at <1659.152466, 216.847580, 4631.463379>
[COT 2022-6M-27 16:45:7s] 76561199055119791: Spawned Entity Firewood (Firewood<fd899440>, 1, 500) at <1659.152466, 216.847580, 4631.463379>
[COT 2022-6M-27 16:45:7s] 76561199055119791: Spawned Entity Firewood (Firewood<fd896970>, 1, 500) at <1659.152466, 216.847580, 4631.463379>
[COT 2022-6M-27 16:45:7s] 76561199055119791: Spawned Entity Firewood (Firewood<fd899cd0>, 1, 500) at <1659.152466, 216.847580, 4631.463379>
[COT 2022-6M-27 16:45:7s] 76561199055119791: Spawned Entity Firewood (Firewood<fd893610>, 1, 500) at <1659.152466, 216.847580, 4631.463379>
[COT 2022-6M-27 16:45:8s] 76561199055119791: Spawned Entity Firewood (Firewood<fd89adf0>, 1, 500) at <1659.152466, 216.847580, 4631.463379>
[COT 2022-6M-27 16:45:8s] 76561199055119791: Spawned Entity Firewood (Firewood<fd893ea0>, 1, 500) at <1659.152466, 216.847580, 4631.463379>
[COT 2022-6M-27 16:45:8s] 76561199055119791: Spawned Entity Firewood (Firewood<fd89b680>, 1, 500) at <1659.152466, 216.847580, 4631.463379>
[COT 2022-6M-27 16:46:49] 76561199055119791: Spawned Entity Barrel (Barrel_Yellow<501de580>, 0, 1300) at <1662.181885, 216.846512, 4631.319336>
[COT 2022-6M-27 16:46:51] 76561199055119791: Spawned Entity Barrel (Barrel_Red<501e6d70>, 0, 1300) at <1662.181885, 216.846512, 4631.319336>
[COT 2022-6M-27 16:46:53] 76561199055119791: Spawned Entity Barrel (Barrel_Blue<501c56c0>, 0, 1300) at <1662.181885, 216.846512, 4631.319336>
[COT 2022-6M-27 16:46:55] 76561199055119791: Spawned Entity Barrel (Barrel_Green<6709f920>, 0, 1300) at <1662.181885, 216.846512, 4631.319336>
