[COT 2022-7M-2D 0h:42:12] 76561199055119791: Spawned Entity BLUE KEY (blue_key<c0f32e0>, -1, 200) at <1659.517456, 216.848022, 4630.090332>
[COT 2022-7M-2D 0h:42:14] 76561199055119791: Spawned Entity RED KEY (red_key<c0f9110>, -1, 200) at <1659.517456, 216.848022, 4630.090332>
[COT 2022-7M-2D 0h:42:16] 76561199055119791: Spawned Entity YELLOW KEY (yellow_key<c0fb350>, -1, 200) at <1659.517456, 216.848022, 4630.090332>
[COT 2022-7M-2D 0h:42:42] 76561199055119791: Teleported to position <11882.975586, 616.599854, 14872.169922>
[COT 2022-7M-2D 0h:55:2s] 76561199055119791: Spawned Entity NBC Gloves (NBCGlovesGray<ca129b0>, -1, 80) at <11578.312500, 570.710083, 15041.291992>
[COT 2022-7M-2D 0h:55:4s] 76561199055119791: Spawned Entity NBC Hood (Clothing<ca165a0>, -1, 25) at <11578.312500, 570.710083, 15041.291992>
[COT 2022-7M-2D 0h:55:6s] 76561199055119791: Spawned Entity NBC Pants (NBCPantsGray<ca19070>, -1, 80) at <11578.312500, 570.710083, 15041.291992>
[COT 2022-7M-2D 0h:55:8s] 76561199055119791: Spawned Entity NBC Boots (NBCBootsGray<ca1aa20>, -1, 80) at <11578.312500, 570.710083, 15041.291992>
[COT 2022-7M-2D 0h:55:10] 76561199055119791: Spawned Entity NBC Jacket (NBCJacketGray<ca15480>, -1, 80) at <11578.312500, 570.710083, 15041.291992>
[COT 2022-7M-2D 0h:55:20] 76561199055119791: Spawned Entity Gas Mask Filter (GasMask_Filter<ca21970>, 150, 80) at <11578.312500, 570.710083, 15041.291992>
[COT 2022-7M-2D 0h:55:20] 76561199055119791: Spawned Entity Gas Mask Filter (GasMask_Filter<ca1cc60>, 150, 80) at <11578.312500, 570.710083, 15041.291992>
