[COT 2022-9M-20 4h:5m:52] 76561199055119791: Teleported to position <6220.369629, 21.010000, 9393.253906>
[COT 2022-9M-20 4h:6m:21] 76561199055119791: Teleported to position <4291.625977, 70.641777, 8076.761719>
[COT 2022-9M-20 4h:6m:35] 76561199055119791: Teleported to position <4267.458984, 77.563835, 8092.089844>
[COT 2022-9M-20 4h:39:17] 76561199055119791: Healed [guid=OrSsyqkr6kypCp_Xr5txVofb_hDf5XnmKnhnTeyL4f4=]
[COT 2022-9M-20 4h:40:3s] 76561199055119791: Teleported to position <4145.981445, 386.097473, 6554.519531>
[COT 2022-9M-20 4h:42:37] 76561199055119791: Teleported to position <5991.811523, 22.060900, 6551.367188>
[COT 2022-9M-20 4h:47:1s] 76561199055119791: Teleported to position <3424.473145, 215.989166, 6729.412109>
[COT 2022-9M-20 5h:14:56] 76561199055119791: Teleported to position <11933.099609, 2.897565, 11990.243164>
[COT 2022-9M-20 5h:20:15] 76561199055119791: Teleported to position <5995.309570, 20.187506, 6594.439453>
[COT 2022-9M-20 5h:22:28] 76561199055119791: Teleported to position <7219.187988, 83.420830, 7983.343750>
[COT 2022-9M-20 5h:36:44] 76561199055119791: Set GodMode To true [guid=OrSsyqkr6kypCp_Xr5txVofb_hDf5XnmKnhnTeyL4f4=]
[COT 2022-9M-20 5h:36:49] 76561199055119791: Healed [guid=OrSsyqkr6kypCp_Xr5txVofb_hDf5XnmKnhnTeyL4f4=]
[COT 2022-9M-20 5h:37:18] 76561199055119791: Set Broken Legs To false [guid=OrSsyqkr6kypCp_Xr5txVofb_hDf5XnmKnhnTeyL4f4=]
[COT 2022-9M-20 5h:37:22] 76561199055119791: Healed [guid=OrSsyqkr6kypCp_Xr5txVofb_hDf5XnmKnhnTeyL4f4=]
[COT 2022-9M-20 5h:37:27] 76561199055119791: Set Broken Legs To true [guid=OrSsyqkr6kypCp_Xr5txVofb_hDf5XnmKnhnTeyL4f4=]
[COT 2022-9M-20 5h:37:31] 76561199055119791: Set GodMode To false [guid=OrSsyqkr6kypCp_Xr5txVofb_hDf5XnmKnhnTeyL4f4=]
[COT 2022-9M-20 5h:37:48] 76561199055119791: Healed [guid=OrSsyqkr6kypCp_Xr5txVofb_hDf5XnmKnhnTeyL4f4=]
[COT 2022-9M-20 5h:40:22] 76561199055119791: Teleported to position <4972.979492, 45.654259, 6653.486816>
[COT 2022-9M-20 5h:44:19] 76561199055119791: Spawned Entity Tactical Helmet (Mich2001Helmet<ca7748d0>, -1, 80) at <4991.371094, 42.100517, 6625.980957>
[COT 2022-9M-20 5h:45:21] 76561199055119791: Spawned Entity 9V Battery (Battery9V<d4375700>, 50, 20) at <4990.228516, 42.144768, 6626.280762>
[COT 2022-9M-20 5h:45:21] 76561199055119791: Spawned Entity 9V Battery (Battery9V<d437e000>, 50, 20) at <4990.228516, 42.144768, 6626.280762>
[COT 2022-9M-20 5h:45:22] 76561199055119791: Spawned Entity 9V Battery (Battery9V<ce1a77d0>, 50, 20) at <4990.228516, 42.144768, 6626.280762>
[COT 2022-9M-20 5h:45:22] 76561199055119791: Spawned Entity 9V Battery (Battery9V<ce1b00d0>, 50, 20) at <4990.228516, 42.144768, 6626.280762>
[COT 2022-9M-20 5h:45:22] 76561199055119791: Spawned Entity 9V Battery (Battery9V<ce1aab30>, 50, 20) at <4990.228516, 42.144768, 6626.280762>
[COT 2022-9M-20 5h:45:22] 76561199055119791: Spawned Entity 9V Battery (Battery9V<ce1b5f00>, 50, 20) at <4990.228516, 42.144768, 6626.280762>
[COT 2022-9M-20 5h:45:22] 76561199055119791: Spawned Entity 9V Battery (Battery9V<ce1990a0>, 50, 20) at <4990.228516, 42.144768, 6626.280762>
[COT 2022-9M-20 5h:45:23] 76561199055119791: Spawned Entity 9V Battery (Battery9V<ce199930>, 50, 20) at <4990.228516, 42.144768, 6626.280762>
[COT 2022-9M-20 6h:0m:31] 76561199055119791: Spawned Entity Weapon Bag (Black) (CS_WeaponBag_Black<ca766f50>, -1, 500) at <4976.890625, 32.270744, 6625.003906>
[COT 2022-9M-20 6h:0m:35] 76561199055119791: Spawned Entity Gun Cleaning Kit (WeaponCleaningKit<a76700a0>, 100, 100) at <4976.890625, 32.270744, 6625.003906>
[COT 2022-9M-20 6h:4m:29] 76561199055119791: Spawned Entity Tactical Belt (MilitaryBelt<d48c3520>, -1, 100) at <4976.890625, 32.270752, 6625.003906>
[COT 2022-9M-20 6h:4m:39] 76561199055119791: Spawned Entity Holster (PlateCarrierHolster<d48cc620>, -1, 100) at <4977.273438, 32.999237, 6622.305664>
[COT 2022-9M-20 6h:4m:42] 76561199055119791: Spawned Entity Holster (dzn_platecarrierholster_nac<d27c6f50>, -1, 100) at <4977.273438, 32.999237, 6622.305664>
[COT 2022-9M-20 6h:5m:7s] 76561199055119791: Spawned Entity Tactical Belt (MilitaryBelt<d0434d10>, -1, 100) at <4977.273438, 33.153622, 6622.305664>
[COT 2022-9M-20 6h:7m:25] 76561199055119791: Spawned Entity Combat Gloves (OMNOGloves_Brown<ca77fe10>, -1, 180) at <4976.645996, 32.270741, 6623.836426>
[COT 2022-9M-20 6h:8m:4s] 76561199055119791: Spawned Entity Assault Boots (MilitaryBoots_Bluerock<d072f470>, -1, 180) at <4976.645996, 32.270741, 6623.836914>
[COT 2022-9M-20 6h:9m:44] 76561199055119791: Spawned Entity Sumrak jacket (dzn_sumrak_up_coldw<d2c07eb0>, -1, 130) at <4976.645996, 32.270741, 6623.836914>
[COT 2022-9M-20 6h:9m:50] 76561199055119791: Spawned Entity Sumrak pants (dzn_sumrak_pants_coldw<d0f16950>, -1, 130) at <4976.645996, 32.270741, 6623.836914>
[COT 2022-9M-20 6h:10:9s] 76561199055119791: Spawned Entity Assault Vest (dzn_smershvest_white<d0f1a8c0>, -1, 110) at <4976.645996, 32.270741, 6623.836914>
[COT 2022-9M-20 6h:10:19] 76561199055119791: Spawned Entity Utility Buttpack (dzn_smershbackpack_white<d27dac80>, -1, 100) at <4976.645996, 32.270741, 6623.836914>
[COT 2022-9M-20 6h:13:42] 76561199055119791: Spawned Entity Nailed Bat (NailedBaseballBat<cea2bcd0>, -1, 250) at <4976.647461, 32.270741, 6623.838379>
[COT 2022-9M-20 6h:14:25] 76561199055119791: Spawned Entity Tire Repair Kit (TireRepairKit<d1098f50>, 100, 100) at <4976.647461, 32.270741, 6623.838379>
[COT 2022-9M-20 6h:14:28] 76561199055119791: Spawned Entity Leather Sewing Kit (LeatherSewingKit<d109a900>, 100, 100) at <4976.647461, 32.270741, 6623.838379>
[COT 2022-9M-20 6h:14:39] 76561199055119791: Spawned Entity Gun Cleaning Kit (WeaponCleaningKit<d10a5cd0>, 100, 100) at <4976.647461, 32.270741, 6623.838379>
